"year","平成21年","22","23","24","25"
"Total","211863427","215381251","206979303","212538026","210582995"
"East andCentral Asia","325143","378699","404243","66280","166643"
"Republic of Korea","25721","176174","337898","―","―"
"People's Republic of China","299422","202525","66345","66280","―"
"Kazakhstan","―","―","―","―","166643"
"South East Asia","6464038","7120121","11308189","15024968","11964005"
"Viet Nam","1504743","369874","2518939","4821581","2872922"
"Singapore","―","―","―","9130","―"
"Malaysia","756001","939822","1463452","1546993","1365321"
"Brunei","194888","741257","688268","760670","523921"
"Philippines","54480","55812","―","―","―"
"Indonesia","3953926","5013356","6632240","7886594","7201841"
"India","―","―","5290","―","―"
"Middle East","190209780","186259522","179788807","177176919","175054245"
"Iran","24423911","20609345","18191375","11002218","10295438"
"Iraq","3639973","6957043","5716074","4403909","3677469"
"Colombia","―","―","76295","―","―"
"Venezuela","―","―","―","323569","778851"
"Ecuador","―","345203","623927","1427945","1431400"
"Ｂｒａｚｉｌ","―","149992","―","―","―"
"Argentina","―","―","―","23675","―"
"Africa","3134624","3517254","4368786","6298840","5032041"
"Algeria","102809","629601","141131","―","166531"
"Libya","―","―","―","434529","348901"
"Sudan","2657733","2570426","2461798","533946","612169"
"Nigeria","316893","158526","408618","613562","151172"
"Chad","303","―","―","51174","304682"
"Equatorial Guinea","―","―","―","342271","―"
"Gabon","5384","―","955556","3693184","3104957"
"Angola","51502","158701","34954","448085","343629"
"The Republic of South Sudan","―","―","366729","182089","―"
"Oceania","1930534","2180973","1574897","2263711","1451635"
"& Month","C.Y. 2009","C.Y. 2010","C.Y. 2011","C.Y. 2012","C.Y. 2013"
